Reference period,Goods-producing sector ,Agriculture ,"Forestry, fishing, mining, quarrying, oil and gas ",Utilities,Construction,Manufacturing,Services-producing sector ,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services ",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
January 2019,3969,292.1,343,139.5,1430.5,1763.8,14951.6,2914.3,1018.2,1204.7,1519.3,795.9,1318.1,2459.6,758.2,1225.2,790.2,947.8
February 2019,3960.1,293.2,344.5,134.8,1429.7,1757.9,15005.7,2906,1010.6,1217.1,1536,808.8,1315.5,2456.5,774.2,1226.6,792.2,962.2
March 2019,3948.1,287.6,340.5,134.7,1432.5,1752.8,14984.8,2929,1025.2,1223.3,1536,786.2,1312.3,2427.5,774.7,1201.3,797,972.3
April 2019,3986.9,290.7,338.1,135.2,1455.9,1766.9,15066.9,2941.6,1033.5,1234.3,1529.8,774.1,1316,2437.6,795.5,1215.1,804.8,984.5
May 2019,3994.7,293,333.2,137.4,1450.7,1780.4,15072.6,2956.7,1033.9,1228.5,1550.9,759.9,1307.4,2451.7,786,1207.9,811.7,978.1
June 2019,3990.9,294.6,330.3,137.6,1456.3,1772,15087.7,2941.4,1039.8,1220.2,1549.7,752.6,1324.2,2469.5,799.1,1211.5,796.3,983.4
July 2019,3999.3,295,328.7,133.7,1474.7,1767.2,15073.1,2926.9,1037.9,1228.5,1555.6,759.6,1317.7,2474.2,791.4,1203.2,787.7,990.4
August 2019,4016.1,295.2,323.9,133.4,1492.4,1771.2,15117.8,2932.6,1033.5,1243.3,1579.4,735.9,1327.4,2488.3,789,1208.9,785,994.3
September 2019,4024,296.8,319.8,126.3,1508,1773,15118.8,2935.9,1030.9,1239.5,1584.2,733.6,1333.9,2495.3,769.7,1223.2,778.9,993.7
October 2019,3997,293.8,328.9,127.5,1501.8,1745,15133.9,2916.8,1026.5,1247.7,1578.9,741.1,1333.5,2500.2,765.8,1231.8,771.9,1019.6
November 2019,3979.7,295.2,323.1,130.3,1513.7,1717.4,15117.1,2920.6,1020.5,1252,1570,745.9,1343.7,2503,767.2,1224.3,778.3,991.6
December 2019,3990.5,290.5,323.3,129.4,1523.2,1724.2,15196,2940.3,1033.6,1244.1,1574.6,752,1344.4,2516.6,782.3,1240.1,780.8,987.2
January 2020,4007.9,302.9,320.6,133.6,1509.6,1741.1,15196.8,2940.6,1034.2,1242.3,1574,751.8,1353.1,2518.1,782.6,1230.5,778.8,990.8
February 2020,4011.1,302.9,314.9,134,1503.5,1755.8,15191.8,2959.5,1032.5,1244.6,1565.5,748.6,1344.7,2519.4,780.7,1226.3,780.3,989.6
March 2020,3935.2,281.8,320.6,130.8,1481,1721,14123,2746.1,990.1,1217.5,1587.7,707,1213.4,2375,660.5,919.3,717.2,989.2
April 2020,3343.2,277.8,290.2,133.5,1189.4,1452.3,12742.6,2330.2,890.2,1199.3,1495.7,637.3,1202,2245,582.1,607.8,577.6,975.4
May 2020,3527.8,274.5,294.9,129.2,1292,1537.1,12882.9,2431.3,860.4,1204.2,1497.1,621.8,1219.7,2250.2,586.5,643.3,591,977.3
June 2020,3710.7,277.2,292.4,131.2,1404.7,1605.2,13758.7,2668,905.9,1227.6,1503.8,682.4,1253.6,2387.4,649.2,843.2,654.6,983
July 2020,3760.8,271,304.7,130.8,1401.6,1652.8,14134.8,2785.2,924.4,1225.7,1543.5,671.9,1291.8,2404.2,661.7,952.7,686.4,987.3
August 2020,3813.5,272.8,295.3,131.7,1427.5,1686.2,14315.8,2814.8,922.7,1220.8,1565.2,691,1306.8,2410.9,666.5,999.3,721.1,996.9
September 2020,3896.3,275.8,292.6,140.9,1440.8,1746.3,14659.6,2838.4,938.6,1234.5,1592.3,695.8,1396.8,2437.5,722.4,1052.6,742.9,1007.8
